stationID,stationName,Line,y,x
2818,????,8,37.492522,127.118234
340,????,3,37.492522,127.118234
2535,??3?,5,37.571607,126.991806
319,??3?,3,37.571607,126.991806
153,??3?,1,37.571607,126.991806
2558,??,5,37.502162,127.128111
342,??,3,37.502162,127.128111
155,???,1,37.57142,127.009745
421,???,4,37.57142,127.009745
2537,?????????,5,37.565138,127.007896
205,?????????,2,37.565138,127.007896
422,?????????,4,37.565138,127.007896
321,???,3,37.561243,126.99428
423,???,4,37.561243,126.99428
1291,??,A,37.554648,126.972559
150,??,1,37.554648,126.972559
426,??,4,37.554648,126.972559
234,???,2,37.508725,126.891295
1007,???,1,37.508725,126.891295
1008,??,K,37.522272,126.974345
430,??,4,37.522272,126.974345
208,???,2,37.561533,127.037732
1845,???,B,37.561533,127.037732
2541,???,5,37.561533,127.037732
1013,???,K,37.561533,127.037732
201,??,2,37.564718,126.977108
151,??,1,37.564718,126.977108
223,??,2,37.493415,127.01408
330,??,3,37.493415,127.01408
4713,???,UI,37.575297,127.025087
246,???,2,37.575297,127.025087
156,???,1,37.575297,127.025087
214,??,2,37.535095,127.094681
2519,???,5,37.531768,126.846683
260,???,2,37.531768,126.846683
2535,??3?,5,37.571607,126.991806
319,??3?,3,37.571607,126.991806
153,??3?,1,37.571607,126.991806
320,???3?,3,37.566295,126.99191
203,???3?,2,37.566295,126.99191
1264,????,K,37.557192,126.925381
1293,????,A,37.557192,126.925381
239,????,2,37.557192,126.925381
1019,???,1,37.623632,127.061835
1308,???,G,37.623632,127.061835
2722,??,7,37.596362,127.085032
1202,??,K,37.596362,127.085032
1309,??,G,37.596362,127.085032
1203,??,K,37.59955,127.091909
1310,??,G,37.59955,127.091909
2524,?????,5,37.52497,126.895951
236,?????,2,37.52497,126.895951
1032,??,1,37.517122,126.917169
2526,??,5,37.517122,126.917169
2535,??3?,5,37.571607,126.991806
319,??3?,3,37.571607,126.991806
153,??3?,1,37.571607,126.991806
2536,???4?,5,37.566941,126.998079
204,???4?,2,37.566941,126.998079
238,??,2,37.549463,126.913739
2623,??,6,37.549463,126.913739
1292,??,A,37.544018,126.951592
1262,??,K,37.544018,126.951592
2627,??,6,37.544018,126.951592
2530,??,5,37.544018,126.951592
2629,???,6,37.534777,126.97311
428,???,4,37.534777,126.97311
323,??,3,37.55434,127.010655
2634,??,6,37.55434,127.010655
206,??,2,37.565972,127.01782
2636,??,6,37.565972,127.01782
2637,???,6,37.572627,127.016429
159,???,1,37.572627,127.016429
2645,??,6,37.614805,127.065851
1018,??,1,37.614805,127.065851
1903,???,1,37.689313,127.046222
2712,???,7,37.689313,127.046222
208,???,2,37.561533,127.037732
1845,???,B,37.561533,127.037732
2541,???,5,37.561533,127.037732
1013,???,K,37.561533,127.037732
2613,??,6,37.610469,126.929887
312,??,3,37.610469,126.929887
2615,???,6,37.619001,126.921008
311,???,3,37.619001,126.921008
1708,??,1,37.372221,126.943429
1458,??,4,37.372221,126.943429
1713,??,1,37.265974,126.999874
1846,??,B,37.265974,126.999874
3130,???,I,37.412603,126.687389
1884,???,SU,37.412603,126.687389
1306,??,G,37.58946,127.057583
1015,??,1,37.58946,127.057583
1200,??,K,37.58946,127.057583
2722,??,7,37.596362,127.085032
1202,??,K,37.596362,127.085032
1309,??,G,37.596362,127.085032
1953,??,3,37.631626,126.811024
1249,??,K,37.631626,126.811024
1292,??,A,37.544018,126.951592
1262,??,K,37.544018,126.951592
2627,??,6,37.544018,126.951592
2530,??,5,37.544018,126.951592
1294,????????,A,37.576646,126.900984
2619,????????,6,37.576646,126.900984
1266,????????,K,37.576646,126.900984
4602,??,U,37.724846,127.046895
1905,??,1,37.724846,127.046895
4311,??,S,37.394761,127.111217
1501,??,KK,37.394761,127.111217
1877,???,SU,37.362357,126.738714
1762,???,4,37.362357,126.738714
1502,??,KK,37.396104,127.12827
1860,??,B,37.396104,127.12827
4127,???,9,37.51098,127.043593
1850,???,B,37.51098,127.043593
218,?????,2,37.510997,127.073642
4130,?????,9,37.510997,127.073642
2812,??,8,37.538397,127.123572
2548,??,5,37.538397,127.123572
412,??,4,37.653166,127.047731
1022,??,1,37.653166,127.047731
433,??,4,37.47653,126.981685
226,??,2,37.47653,126.981685
2715,??,7,37.655128,127.061368
411,??,4,37.655128,127.061368
2727,??,7,37.557121,127.079542
2545,??,5,37.557121,127.079542
2729,????,7,37.540693,127.07023
212,????,2,37.540693,127.07023
4123,?????,9,37.50481,127.004943
2736,?????,7,37.50481,127.004943
329,?????,3,37.50481,127.004943
2738,?????(??),7,37.486263,126.981989
432,?????(??),4,37.486263,126.981989
2746,??,7,37.49297,126.895801
233,??,2,37.49297,126.895801
2748,???????,7,37.481072,126.882343
1702,???????,1,37.481072,126.882343
2752,??,7,37.492258,126.823388
1821,??,1,37.492258,126.823388
3118,????,I,37.508336,126.720548
2761,????,7,37.508336,126.720548
2815,??,8,37.51395,127.102234
216,??,2,37.51395,127.102234
2821,??,8,37.470047,127.126662
1031,??,B,37.470047,127.126662
1853,??,B,37.43213,127.129087
2827,??,8,37.43213,127.129087
3120,??,I,37.489493,126.724805
1806,??,1,37.489493,126.724805
4113,??,9,37.53438,126.902281
237,??,2,37.53438,126.902281
2527,???,5,37.521624,126.924191
4115,???,9,37.521624,126.924191
4120,??,9,37.502971,126.979306
431,??,4,37.502971,126.979306
4123,?????,9,37.50481,127.004943
2736,?????,7,37.50481,127.004943
329,?????,3,37.50481,127.004943
